education_level,experience,location,job_title,age,gender,salary
High School,26,Suburban,Marketing Executive,40,Female,61179
Bachelor's,13,Suburban,Marketing Executive,30,Female,54862
High School,3,Suburban,Director,35,Male,104879
PhD,26,Urban,Director,25,Female,345000
Master's,7,Urban,Data Scientist,40,Male,118800
Master's,0,Rural,Director,46,Female,112200
PhD,22,Urban,Data Scientist,40,Male,210000
High School,0,Suburban,Clerk,24,Female,15200
High School,30,Urban,Marketing Executive,37,Female,70000
Bachelor's,29,Suburban,Marketing Executive,37,Female,81462
PhD,23,Rural,Marketing Executive,44,Female,79953
PhD,8,Suburban,Technician,52,Female,49875
Master's,19,Rural,Software Engineer,32,Male,127627
Bachelor's,13,Rural,Clerk,52,Female,28050
PhD,12,Suburban,Software Engineer,57,Female,133000
High School,14,Urban,Marketing Executive,23,Male,47600
PhD,16,Suburban,Technician,27,Female,64125
PhD,28,Suburban,Technician,24,Female,85500
High School,5,Urban,HR Manager,47,Female,55000
Bachelor's,2,Urban,Clerk,30,Male,22000
High School,14,Suburban,Marketing Executive,27,Female,45220
Master's,1,Rural,Director,34,Male,117810
Master's,9,Urban,Software Engineer,34,Male,111650
Master's,20,Rural,HR Manager,44,Female,102850
High School,18,Rural,Clerk,51,Female,25840
Master's,29,Suburban,Data Scientist,41,Male,204820
PhD,0,Suburban,Director,26,Female,142500
High School,8,Suburban,HR Manager,29,Male,58519
Bachelor's,19,Urban,HR Manager,51,Female,107250
Master's,2,Suburban,Data Analyst,39,Male,68970
PhD,22,Urban,Software Engineer,33,Male,183750
Bachelor's,11,Rural,Director,51,Female,158100
High School,12,Suburban,Marketing Executive,48,Male,42560
High School,20,Rural,Customer Support,21,Male,34000
PhD,22,Urban,Data Scientist,26,Male,210000
PhD,19,Rural,Data Analyst,29,Male,124312
High School,3,Suburban,HR Manager,26,Female,48069
Master's,23,Rural,Director,34,Male,241230
High School,17,Urban,Technician,55,Male,44400
PhD,21,Rural,Customer Support,60,Female,54453
High School,23,Suburban,Software Engineer,24,Male,114380
PhD,30,Suburban,Marketing Executive,24,Female,103906
High School,23,Suburban,Clerk,40,Female,32680
High School,6,Urban,Marketing Executive,57,Male,36400
PhD,21,Rural,Product Manager,35,Male,206921
PhD,17,Suburban,Product Manager,48,Male,208703
High School,3,Urban,Director,54,Female,110399
PhD,25,Urban,Director,58,Male,337500
Bachelor's,15,Suburban,Software Engineer,43,Female,116375
High School,15,Rural,Clerk,33,Male,23800
Master's,3,Suburban,Marketing Executive,34,Female,42061
PhD,10,Urban,Product Manager,46,Female,178125
Bachelor's,28,Urban,Director,36,Male,288000
Bachelor's,6,Rural,Director,36,Male,132600
Master's,13,Suburban,Director,22,Female,206910
Bachelor's,29,Rural,Data Scientist,21,Female,166600
High School,23,Suburban,Data Scientist,54,Male,130720
Master's,2,Suburban,Data Analyst,31,Female,68970
Master's,8,Urban,Clerk,47,Female,30799
High School,4,Suburban,Clerk,37,Male,18240
High School,1,Urban,Software Engineer,21,Male,58800
High School,7,Urban,Software Engineer,41,Male,75600
Bachelor's,14,Urban,Product Manager,60,Female,161500
Master's,0,Rural,Customer Support,24,Female,23375
High School,12,Suburban,Technician,48,Female,36480
Bachelor's,25,Rural,Data Analyst,30,Female,114750
Bachelor's,11,Urban,Software Engineer,45,Female,108500
PhD,30,Suburban,Software Engineer,60,Male,207812
Bachelor's,24,Rural,HR Manager,22,Female,102850
PhD,4,Rural,Software Engineer,34,Female,89250
Bachelor's,16,Urban,Customer Support,32,Male,45000
Bachelor's,7,Suburban,Product Manager,56,Male,121837
Master's,20,Urban,HR Manager,34,Male,121000
Bachelor's,28,Suburban,Data Analyst,48,Female,136800
Bachelor's,13,Suburban,HR Manager,24,Female,86212
PhD,25,Urban,Marketing Executive,25,Female,98437
High School,1,Rural,Product Manager,31,Female,67830
Master's,7,Urban,Director,29,Male,178200
Bachelor's,8,Urban,Customer Support,49,Male,35000
Master's,11,Suburban,Data Scientist,44,Female,129580
Bachelor's,17,Suburban,Director,53,Female,210900
High School,28,Urban,Director,58,Male,230400
PhD,18,Urban,Director,38,Male,285000
Bachelor's,14,Urban,Software Engineer,54,Male,119000
Master's,3,Urban,Customer Support,27,Male,31625
PhD,12,Rural,Clerk,50,Male,34000
Bachelor's,6,Suburban,Technician,37,Male,37050
High School,5,Rural,Clerk,54,Male,17000
Master's,9,Suburban,Data Analyst,35,Female,90915
Master's,6,Rural,Data Scientist,52,Female,97240
Master's,22,Rural,Product Manager,23,Male,186532
Bachelor's,15,Suburban,Data Analyst,21,Female,99750
Bachelor's,29,Rural,Technician,56,Female,62475
Master's,28,Urban,Data Analyst,42,Female,158400
PhD,23,Suburban,Technician,47,Male,76593
Bachelor's,8,Rural,Data Scientist,32,Female,95200
High School,3,Rural,Data Scientist,25,Female,62559
Bachelor's,13,Rural,Clerk,36,Male,28050
High School,4,Urban,Product Manager,57,Female,91200
Bachelor's,8,Suburban,Director,38,Female,159600
Master's,4,Rural,Director,55,Male,134640
PhD,20,Suburban,Clerk,60,Female,47500
PhD,1,Rural,HR Manager,23,Male,61359
Bachelor's,19,Rural,Director,47,Female,198900
Bachelor's,25,Suburban,Director,24,Female,256500
PhD,12,Suburban,Data Analyst,42,Female,114000
PhD,19,Urban,Customer Support,30,Male,60937
Bachelor's,21,Suburban,Customer Support,53,Female,48687
High School,19,Rural,Data Analyst,54,Female,79560
PhD,18,Suburban,Customer Support,27,Female,56406
Master's,23,Suburban,Data Analyst,33,Male,134805
PhD,27,Suburban,Director,53,Female,334875
High School,28,Suburban,Software Engineer,35,Female,127680
PhD,25,Suburban,HR Manager,47,Female,146953
Master's,5,Rural,HR Manager,34,Female,64281
High School,27,Rural,Product Manager,40,Male,151810
Master's,16,Urban,HR Manager,34,Female,108900
PhD,7,Urban,Technician,54,Female,50625
Bachelor's,25,Suburban,Marketing Executive,36,Female,74812
High School,18,Urban,Data Analyst,33,Female,91200
Bachelor's,26,Urban,Data Analyst,29,Male,138000
Bachelor's,19,Urban,Marketing Executive,50,Female,68250
PhD,21,Rural,Software Engineer,36,Male,152468
Master's,25,Suburban,Marketing Executive,32,Female,82293
Bachelor's,11,Urban,Technician,39,Male,46500
High School,23,Urban,HR Manager,21,Female,94600
High School,2,Rural,Data Scientist,41,Female,59840
High School,3,Rural,Data Analyst,54,Male,46920
High School,28,Rural,Data Scientist,32,Male,130560
Bachelor's,17,Suburban,Clerk,59,Female,35150
PhD,26,Urban,Product Manager,26,Female,273125
High School,12,Suburban,Data Scientist,26,Female,97280
High School,8,Rural,Software Engineer,51,Male,66640
Master's,17,Suburban,Clerk,45,Male,38665
Master's,7,Urban,Software Engineer,41,Male,103950
Master's,15,Rural,Director,54,Female,196350
High School,10,Rural,Director,40,Female,122400
Bachelor's,14,Suburban,Data Analyst,21,Male,96900
High School,18,Suburban,Data Analyst,24,Male,86640
Master's,18,Rural,Marketing Executive,60,Male,62177
PhD,25,Urban,Data Scientist,35,Male,225000
PhD,25,Suburban,Clerk,54,Female,53437
High School,8,Urban,Clerk,42,Female,22400
Bachelor's,11,Suburban,Marketing Executive,47,Male,51537
Bachelor's,24,Rural,Director,33,Female,224400
Master's,6,Rural,Data Scientist,39,Male,97240
Master's,5,Urban,Software Engineer,27,Male,96250
High School,19,Urban,Director,51,Male,187200
High School,13,Rural,Product Manager,33,Female,106590
Master's,21,Suburban,Software Engineer,30,Female,149957
PhD,23,Urban,Director,25,Female,322500
PhD,18,Urban,Technician,58,Male,71250
PhD,29,Rural,Product Manager,21,Male,247296
High School,17,Urban,Technician,40,Male,44400
Master's,12,Rural,Software Engineer,32,Male,104720
High School,7,Rural,Data Scientist,50,Female,73440
Master's,8,Rural,Data Scientist,60,Female,104720
Master's,18,Suburban,Product Manager,36,Male,188622
Master's,0,Suburban,Data Analyst,29,Female,62700
PhD,7,Suburban,Data Analyst,58,Female,96187
Master's,20,Urban,Clerk,35,Male,44000
Master's,10,Suburban,Technician,29,Female,47025
PhD,7,Suburban,Customer Support,23,Male,40078
High School,17,Rural,Data Analyst,23,Male,75480
High School,18,Rural,Customer Support,25,Female,32300
Bachelor's,11,Rural,Clerk,31,Female,26350
Bachelor's,18,Urban,Customer Support,60,Male,47500
High School,26,Rural,Director,29,Female,187680
Master's,23,Suburban,Customer Support,53,Female,56168
PhD,17,Rural,Software Engineer,40,Male,137593
High School,15,Suburban,Data Scientist,60,Female,106400
High School,20,Suburban,Technician,32,Female,45600
PhD,24,Rural,Director,24,Female,280500
High School,22,Urban,Director,49,Female,201600
Master's,18,Urban,Clerk,25,Male,41800
PhD,1,Suburban,Clerk,47,Male,24937
High School,30,Suburban,Data Analyst,48,Male,114000
High School,14,Urban,Director,47,Female,163200
PhD,27,Urban,Data Analyst,26,Female,176250
High School,20,Urban,Director,49,Female,192000
High School,22,Rural,Software Engineer,35,Female,99960
Master's,12,Rural,Software Engineer,34,Male,104720
High School,8,Urban,Software Engineer,44,Female,78400
High School,19,Suburban,Software Engineer,57,Male,103740
PhD,24,Urban,Technician,55,Male,82500
Bachelor's,12,Rural,Marketing Executive,28,Female,47600
Bachelor's,16,Suburban,Customer Support,53,Female,42750
High School,20,Suburban,Technician,40,Female,45600
Master's,6,Suburban,Product Manager,23,Male,129057
PhD,0,Rural,Marketing Executive,29,Female,37187
High School,30,Suburban,Technician,49,Male,57000
PhD,1,Rural,Clerk,46,Male,22312
Master's,21,Rural,Data Scientist,59,Female,153340
Master's,21,Rural,Director,37,Female,230009
Bachelor's,8,Rural,Technician,45,Female,35700
Bachelor's,22,Rural,Data Analyst,34,Female,107100
Master's,20,Rural,Customer Support,37,Female,46750
High School,8,Suburban,Product Manager,50,Male,101080
High School,7,Urban,Director,53,Male,129600
Master's,28,Suburban,Technician,38,Female,75240
Bachelor's,9,Rural,Director,47,Female,147900
High School,7,Suburban,Product Manager,24,Male,97470
High School,24,Rural,Product Manager,48,Female,142120
Master's,24,Rural,Customer Support,38,Female,51425
Master's,20,Urban,Marketing Executive,42,Female,77000
Bachelor's,12,Urban,Director,31,Female,192000
High School,10,Suburban,Marketing Executive,23,Male,39900
Bachelor's,8,Urban,HR Manager,46,Female,77000
PhD,2,Suburban,Software Engineer,45,Female,91437
Bachelor's,13,Rural,Technician,35,Male,42075
High School,24,Suburban,Technician,29,Female,50160
PhD,20,Rural,Technician,25,Male,63750
High School,20,Suburban,Director,57,Male,182400
Master's,16,Suburban,Clerk,21,Male,37620
Master's,15,Urban,Product Manager,22,Male,182875
Master's,20,Rural,Technician,36,Female,56100
Master's,17,Suburban,Product Manager,34,Female,183658
High School,19,Rural,Product Manager,42,Male,125970
High School,24,Rural,Data Analyst,44,Female,89760
Master's,30,Suburban,Customer Support,25,Female,65312
High School,25,Rural,Data Scientist,53,Female,122400
PhD,16,Urban,Marketing Executive,35,Male,78750
High School,26,Urban,Marketing Executive,42,Male,64399
Master's,8,Suburban,Customer Support,37,Male,36575
PhD,25,Rural,Product Manager,54,Male,227109
Master's,3,Urban,Technician,54,Male,37950
Master's,3,Rural,Clerk,56,Female,21505
High School,6,Urban,Customer Support,41,Male,26000
Master's,29,Urban,Director,53,Female,323400
High School,30,Suburban,Marketing Executive,46,Female,66500
Bachelor's,1,Suburban,Customer Support,27,Female,24937
High School,8,Suburban,Software Engineer,41,Male,74480
PhD,12,Suburban,Data Scientist,52,Female,152000
High School,22,Rural,Data Scientist,23,Male,114240
PhD,16,Urban,Product Manager,47,Male,213750
Master's,8,Urban,Data Analyst,51,Male,92400
Master's,2,Rural,Director,29,Female,123420
Bachelor's,29,Urban,Clerk,39,Female,49000
PhD,20,Rural,Data Analyst,54,Male,127500
High School,12,Suburban,Director,52,Female,145920
PhD,28,Urban,Technician,49,Female,90000
PhD,29,Suburban,Technician,57,Male,87281
Bachelor's,13,Suburban,Product Manager,30,Male,148912
Master's,0,Urban,Product Manager,40,Female,104500
PhD,23,Urban,Data Scientist,39,Male,215000
PhD,28,Rural,Marketing Executive,55,Female,89250
Master's,5,Suburban,Clerk,39,Male,26125
PhD,0,Rural,Software Engineer,55,Female,74375
Bachelor's,9,Rural,Marketing Executive,58,Male,43137
PhD,13,Rural,Software Engineer,31,Female,122718
Bachelor's,19,Rural,Marketing Executive,60,Female,58012
High School,13,Urban,Software Engineer,37,Male,92400
High School,21,Urban,Data Scientist,37,Female,131200
Bachelor's,13,Rural,Director,36,Male,168300
PhD,3,Urban,Clerk,38,Male,28749
Master's,1,Suburban,Data Scientist,36,Female,87780
High School,12,Suburban,Product Manager,22,Male,115520
High School,5,Rural,Marketing Executive,23,Male,29750
PhD,7,Suburban,Customer Support,45,Female,40078
High School,26,Rural,Product Manager,34,Male,148580
PhD,19,Rural,Marketing Executive,31,Male,72515
Bachelor's,11,Urban,Director,45,Female,186000
Bachelor's,10,Urban,Customer Support,27,Female,37500
PhD,26,Urban,Clerk,29,Female,57499
PhD,3,Urban,Data Analyst,49,Male,86250
High School,25,Urban,HR Manager,55,Male,99000
Master's,7,Rural,Director,43,Male,151470
PhD,20,Urban,Customer Support,21,Female,62500
Bachelor's,15,Rural,HR Manager,56,Male,81812
Bachelor's,13,Urban,Customer Support,49,Female,41250
PhD,4,Suburban,Clerk,56,Male,28500
PhD,28,Urban,Technician,21,Male,90000
High School,20,Urban,Customer Support,50,Male,40000
High School,15,Urban,Customer Support,43,Female,35000
Bachelor's,24,Suburban,Director,48,Male,250800
Master's,18,Suburban,Customer Support,53,Male,49637
Master's,13,Rural,Data Scientist,54,Female,123420
PhD,26,Rural,Software Engineer,28,Male,171062
Bachelor's,26,Urban,Clerk,60,Female,46000
Bachelor's,11,Urban,Software Engineer,27,Female,108500
Master's,24,Rural,Clerk,27,Female,41140
Master's,19,Suburban,HR Manager,34,Male,112076
Master's,15,Suburban,Clerk,32,Female,36575
PhD,30,Urban,Clerk,39,Female,62500
High School,4,Urban,Customer Support,58,Female,24000
Master's,29,Rural,Technician,49,Male,68722
PhD,29,Urban,Marketing Executive,41,Female,107187
Master's,1,Urban,Clerk,47,Female,23100
PhD,9,Urban,HR Manager,40,Female,99687
Bachelor's,29,Rural,Product Manager,56,Female,197837
Bachelor's,27,Urban,Data Analyst,40,Male,141000
PhD,17,Rural,Data Scientist,32,Male,157250
High School,9,Rural,Clerk,57,Female,19720
Bachelor's,29,Suburban,Software Engineer,39,Male,162925
Bachelor's,22,Urban,Product Manager,30,Female,199500
PhD,3,Suburban,Technician,32,Female,40968
High School,10,Suburban,Marketing Executive,42,Female,39900
PhD,24,Urban,Product Manager,37,Female,261250
Bachelor's,20,Urban,Technician,47,Female,60000
Bachelor's,16,Urban,Customer Support,24,Male,45000
Bachelor's,3,Urban,Director,26,Female,138000
Bachelor's,26,Urban,Software Engineer,47,Male,161000
Bachelor's,19,Suburban,Data Scientist,33,Male,148200
High School,20,Suburban,Data Scientist,41,Female,121600
PhD,0,Urban,Data Scientist,29,Female,100000
High School,10,Urban,Data Analyst,41,Male,72000
Master's,10,Rural,Marketing Executive,52,Male,49087
Master's,27,Rural,Clerk,25,Male,43945
Master's,3,Rural,Product Manager,40,Male,102148
PhD,12,Rural,Clerk,31,Female,34000
PhD,27,Suburban,Data Scientist,48,Female,223250
Master's,5,Suburban,Customer Support,33,Female,32656
Bachelor's,7,Suburban,Technician,34,Female,38475
Bachelor's,22,Rural,Software Engineer,59,Male,124950
Master's,27,Urban,Software Engineer,25,Female,180950
Master's,1,Suburban,HR Manager,23,Female,60348
Bachelor's,21,Suburban,HR Manager,42,Female,107112
Bachelor's,19,Suburban,HR Manager,32,Female,101887
High School,29,Suburban,Product Manager,21,Male,176890
Master's,4,Rural,Data Analyst,28,Female,67320
PhD,25,Urban,Data Analyst,37,Male,168750
High School,17,Rural,Product Manager,48,Male,119510
Master's,27,Suburban,HR Manager,48,Male,135066
Bachelor's,1,Urban,Data Scientist,46,Female,84000
Bachelor's,22,Urban,Marketing Executive,49,Male,73500
PhD,26,Rural,Technician,28,Female,73312
PhD,15,Rural,Software Engineer,45,Male,130156
Master's,3,Urban,Software Engineer,33,Male,88550
Bachelor's,13,Rural,Customer Support,35,Male,35062
High School,4,Suburban,Data Scientist,51,Female,72960
Master's,7,Rural,Clerk,42,Male,25245
Bachelor's,29,Suburban,Data Scientist,25,Female,186200
Master's,16,Rural,HR Manager,58,Female,92565
Bachelor's,19,Rural,HR Manager,36,Female,91162
Bachelor's,18,Suburban,Marketing Executive,51,Male,63175
High School,20,Rural,Product Manager,54,Male,129200
Master's,20,Suburban,Data Analyst,27,Female,125400
PhD,30,Urban,Marketing Executive,40,Female,109375
High School,9,Urban,Software Engineer,60,Female,81200
High School,7,Urban,Data Scientist,57,Male,86400
High School,17,Rural,Software Engineer,46,Female,88060
High School,21,Suburban,HR Manager,31,Male,85689
High School,29,Urban,Marketing Executive,56,Male,68600
Master's,17,Rural,Technician,51,Female,51892
Bachelor's,20,Urban,Customer Support,27,Male,50000
Bachelor's,22,Suburban,Software Engineer,35,Male,139650
PhD,6,Urban,Product Manager,54,Male,154375
PhD,22,Urban,Data Analyst,33,Male,157500
PhD,3,Rural,Clerk,41,Female,24437
High School,3,Suburban,Product Manager,36,Female,83030
Master's,25,Urban,Product Manager,37,Male,235125
Bachelor's,17,Rural,Data Analyst,59,Female,94350
High School,9,Urban,Software Engineer,29,Female,81200
High School,5,Urban,Software Engineer,52,Female,70000
Master's,24,Suburban,Product Manager,31,Male,218405
Master's,27,Rural,HR Manager,60,Male,120848
PhD,30,Urban,Director,21,Female,375000
High School,27,Urban,Technician,29,Female,56400
High School,17,Suburban,Software Engineer,30,Male,98420
PhD,22,Urban,Marketing Executive,43,Male,91875
Master's,18,Rural,Data Analyst,47,Male,106590
Bachelor's,13,Urban,Customer Support,45,Female,41250
Master's,2,Rural,Data Scientist,53,Female,82280
Master's,0,Rural,HR Manager,48,Male,51425
Bachelor's,25,Urban,Data Analyst,25,Female,135000
Bachelor's,21,Urban,Marketing Executive,41,Female,71750
High School,14,Suburban,Technician,30,Female,38760
Bachelor's,15,Urban,Customer Support,37,Female,43750
PhD,15,Suburban,Customer Support,32,Female,51953
PhD,29,Rural,HR Manager,39,Female,143171
Master's,4,Rural,Data Analyst,36,Female,67320
Bachelor's,20,Suburban,Director,26,Male,228000
Master's,8,Urban,Data Scientist,30,Male,123199
Bachelor's,15,Rural,Clerk,59,Female,29750
PhD,11,Rural,Software Engineer,58,Male,115281
Bachelor's,2,Suburban,Director,28,Female,125400
Master's,28,Rural,Customer Support,25,Male,56100
High School,1,Rural,Customer Support,56,Male,17850
Bachelor's,11,Suburban,Director,46,Female,176700
High School,20,Suburban,HR Manager,23,Male,83600
Master's,13,Urban,Director,31,Female,217800
Bachelor's,30,Rural,Customer Support,42,Female,53125
Bachelor's,21,Suburban,Clerk,60,Female,38950
Bachelor's,26,Suburban,Marketing Executive,33,Male,76475
Bachelor's,23,Suburban,HR Manager,47,Female,112337
Master's,8,Rural,HR Manager,48,Male,71995
Bachelor's,29,Urban,Marketing Executive,55,Female,85750
High School,30,Urban,Marketing Executive,56,Male,70000
Bachelor's,27,Urban,Software Engineer,39,Female,164500
PhD,12,Suburban,Director,39,Male,228000
PhD,3,Urban,HR Manager,40,Male,79062
PhD,9,Urban,Technician,35,Male,54375
Master's,15,Urban,HR Manager,48,Male,105875
High School,18,Rural,Technician,39,Male,38760
Master's,11,Rural,Marketing Executive,36,Female,50723
Bachelor's,23,Suburban,Marketing Executive,56,Male,71487
Bachelor's,13,Urban,Data Scientist,49,Male,132000
Master's,26,Rural,Data Analyst,52,Male,129029
Bachelor's,16,Rural,Product Manager,37,Female,145350
High School,1,Urban,HR Manager,51,Male,46200
PhD,17,Urban,Data Analyst,23,Male,138750
High School,24,Suburban,Product Manager,37,Female,158840
Master's,3,Suburban,Data Scientist,39,Male,96139
PhD,0,Urban,Data Scientist,31,Female,100000
Bachelor's,10,Rural,Software Engineer,28,Female,89250
PhD,17,Urban,Technician,38,Female,69375
High School,20,Rural,Director,39,Male,163200
Bachelor's,25,Suburban,Clerk,52,Male,42750
Master's,4,Rural,HR Manager,56,Male,61710
PhD,20,Urban,Director,41,Female,300000
Bachelor's,17,Rural,Technician,40,Female,47175
Master's,19,Rural,Software Engineer,55,Male,127627
Bachelor's,21,Urban,Director,22,Male,245999
High School,29,Rural,Clerk,46,Female,33320
PhD,21,Rural,Data Scientist,29,Female,174249
High School,1,Rural,Director,54,Female,85680
Bachelor's,15,Rural,Data Scientist,26,Female,119000
High School,30,Suburban,Marketing Executive,50,Male,66500
High School,1,Suburban,Product Manager,22,Male,75810
PhD,17,Rural,HR Manager,51,Male,108109
High School,25,Rural,Software Engineer,38,Female,107100
High School,18,Rural,HR Manager,26,Female,71060
Bachelor's,21,Rural,Customer Support,50,Female,43562
Bachelor's,22,Rural,HR Manager,48,Female,98175
Bachelor's,9,Urban,Clerk,60,Female,29000
High School,9,Suburban,Data Analyst,42,Female,66120
High School,18,Urban,Marketing Executive,39,Male,53200
Bachelor's,15,Rural,Technician,60,Female,44625
Master's,18,Rural,Data Analyst,26,Female,106590
High School,10,Suburban,Technician,22,Female,34200
High School,4,Rural,Product Manager,48,Female,77520
Bachelor's,19,Rural,Data Scientist,45,Female,132600
Master's,30,Suburban,Product Manager,39,Female,248187
PhD,6,Urban,Data Scientist,25,Female,130000
Master's,8,Urban,Clerk,23,Female,30799
High School,12,Urban,Data Scientist,49,Male,102400
Master's,13,Urban,HR Manager,23,Male,99825
Master's,5,Rural,Technician,40,Male,35062
High School,7,Suburban,HR Manager,53,Male,56430
PhD,28,Urban,HR Manager,55,Male,165000
PhD,3,Urban,Customer Support,21,Male,35937
Master's,1,Rural,HR Manager,51,Male,53996
Bachelor's,17,Suburban,Product Manager,51,Male,166962
Master's,0,Rural,HR Manager,52,Male,51425
Master's,27,Suburban,Clerk,51,Female,49115
PhD,20,Suburban,Data Analyst,38,Female,142500
Master's,24,Suburban,Product Manager,42,Male,218405
PhD,14,Rural,Customer Support,31,Male,45156
Master's,28,Rural,Director,58,Female,269280
Master's,17,Urban,HR Manager,21,Female,111925
PhD,8,Urban,Product Manager,36,Female,166250
High School,10,Rural,Product Manager,22,Male,96900
Master's,15,Suburban,Software Engineer,58,Female,128012
High School,21,Rural,Data Scientist,50,Female,111519
Bachelor's,17,Rural,Customer Support,44,Female,39312
Bachelor's,10,Urban,Clerk,34,Female,30000
Master's,0,Urban,Technician,41,Male,33000
Master's,24,Suburban,HR Manager,39,Male,126445
Bachelor's,7,Rural,Data Analyst,52,Male,68850
PhD,28,Urban,Product Manager,46,Male,285000
High School,0,Suburban,Data Analyst,41,Female,45600
Bachelor's,11,Urban,Director,24,Female,186000
High School,25,Rural,Customer Support,36,Male,38250
Bachelor's,27,Urban,Marketing Executive,44,Female,82250
PhD,12,Suburban,Software Engineer,31,Female,133000
PhD,20,Urban,HR Manager,50,Female,137500
Bachelor's,2,Rural,Clerk,35,Female,18700
PhD,5,Rural,Data Analyst,31,Female,79687
PhD,7,Urban,Technician,40,Male,50625
PhD,29,Suburban,Customer Support,53,Female,72734
High School,2,Urban,Director,34,Female,105600
High School,1,Urban,Technician,51,Female,25200
PhD,24,Rural,Product Manager,33,Female,222062
High School,12,Urban,Technician,39,Male,38400
Master's,23,Rural,Technician,48,Female,60307
PhD,27,Rural,Product Manager,51,Male,237203
Master's,28,Urban,Clerk,33,Male,52800
